month,n_members,n_values,coverage,no_events,era,stamp_session
2023-06,22,22,1.0,False,reconstruction,2023-06-30
2023-07,22,22,1.0,False,reconstruction,2023-07-31
2023-08,22,22,1.0,False,reconstruction,2023-08-31
2023-09,22,22,1.0,False,reconstruction,2023-09-29
2023-10,22,22,1.0,False,reconstruction,2023-10-31
2023-11,22,22,1.0,False,reconstruction,2023-11-30
2023-12,22,22,1.0,False,reconstruction,2023-12-29
2024-01,22,22,1.0,False,reconstruction,2024-01-31
2024-02,22,22,1.0,False,reconstruction,2024-02-29
2024-03,22,22,1.0,False,reconstruction,2024-03-28
2024-04,22,22,1.0,False,reconstruction,2024-04-30
2024-05,22,22,1.0,False,reconstruction,2024-05-31
2024-06,22,22,1.0,False,reconstruction,2024-06-28
2024-07,22,22,1.0,False,reconstruction,2024-07-31
2024-08,22,22,1.0,False,reconstruction,2024-08-30
2024-09,22,22,1.0,False,reconstruction,2024-09-30
2024-10,22,22,1.0,False,reconstruction,2024-10-31
2024-11,22,22,1.0,False,reconstruction,2024-11-29
2024-12,22,22,1.0,False,reconstruction,2024-12-31
2025-01,22,22,1.0,False,reconstruction,2025-01-31
2025-02,22,22,1.0,False,reconstruction,2025-02-28
2025-03,22,22,1.0,False,reconstruction,2025-03-31
2025-04,22,22,1.0,False,reconstruction,2025-04-30
2025-05,22,22,1.0,False,reconstruction,2025-05-30
2025-06,22,22,1.0,False,reconstruction,2025-06-30
2025-07,22,22,1.0,False,reconstruction,2025-07-31
2025-08,22,22,1.0,False,reconstruction,2025-08-29
2025-09,22,22,1.0,False,reconstruction,2025-09-30
2025-10,22,22,1.0,False,reconstruction,2025-10-31
2025-11,22,22,1.0,False,reconstruction,2025-11-28
2025-12,22,22,1.0,False,reconstruction,2025-12-31
2026-01,22,22,1.0,False,reconstruction,2026-01-30
2026-02,22,22,1.0,False,reconstruction,2026-02-27
2026-03,22,22,1.0,False,reconstruction,2026-03-31
2026-04,22,22,1.0,False,reconstruction,2026-04-30
2026-05,22,22,1.0,False,reconstruction,2026-05-29
2026-06,21,21,1.0,False,reconstruction,2026-06-30
2026-07,21,21,1.0,False,reconstruction,2026-07-31
2026-08,21,21,1.0,False,reconstruction,2026-08-10
